,lon,lat,z1p0,z2p5,sigma,vs30,v22p12,v22p11,v22p4,v22p2,v21p6,v21p1,v20p9,v20p6,v20p5,v20p4
CSHS,171.7236,-43.2265,0.045,0.325,0.5,500.000000210513,False,False,False,False,True,True,True,True,True,True
PEEC,171.234,-43.9239,0.055,0.825,0.3,246.613838533794,False,False,True,False,True,True,False,True,False,True
IFPS,171.4728,-42.7267,0.065,0.275,0.5,511.653784029625,False,False,False,False,True,True,True,True,True,True
MNZS,172.9738,-43.6374,0.105,1.625,0.3,690.974245331429,False,False,True,False,True,True,True,True,True,True
KOKS,171.1356,-42.8917,0.065,0.275,0.5,500.000000025484,False,False,False,False,True,True,True,True,True,True
DALS,172.6732,-43.512,0.625,2.325,0.3,184.580412751796,False,False,False,False,True,True,True,True,True,True
WHAS,170.3268,-43.316,0.055,0.325,0.5,246.613837142301,False,False,True,False,True,True,False,True,False,True
MAYC,171.4217,-43.8231,0.645,1.275,0.3,500.000000034003,False,False,False,False,True,True,False,True,False,True
RPZ,171.0539,-43.7146,0.035,0.325,0.5,544.925049331669,False,False,True,False,True,True,False,True,False,True
LRSC,171.7936,-43.7294,1.125,2.375,0.3,499.999891095701,False,False,False,False,True,True,False,True,True,True
PPHS,172.6069,-43.4928,0.665,3.325,0.3,172.368085664898,False,False,False,False,True,True,True,True,True,True
STKS,172.6449,-43.6065,0.005,1.575,0.3,708.189921423012,False,False,False,False,True,True,True,True,True,True
MSMC,171.4023,-43.7046,0.245,0.775,0.3,500.000000426008,False,False,False,False,True,True,False,True,False,True
WHFS,170.359,-43.2612,0.065,0.325,0.5,335.279503497582,False,False,True,False,True,True,False,True,False,True
GMFS,171.2043,-42.4578,0.075,1.475,0.5,240.0000000003,False,False,True,False,True,True,True,True,True,True
ARPS,171.4079,-42.524,0.075,0.725,0.5,487.285668671136,False,False,True,False,True,True,True,True,True,True
CACS,172.53,-43.4832,0.595,2.675,0.3,427.355309290819,False,False,False,False,True,True,True,True,True,True
WSFC,171.611,-43.8373,0.975,1.925,0.3,499.999999998089,False,False,False,False,True,True,False,True,False,True
CCCC,172.6474,-43.5381,0.495,2.075,0.3,180.077739690978,False,False,False,False,True,True,True,True,True,True
RKAC,172.0231,-43.7515,0.765,1.825,0.3,466.932699073168,False,False,False,False,True,True,True,True,True,True
INZ,171.4441,-42.7245,0.045,0.275,0.5,997.793808425323,False,False,False,False,True,True,True,True,True,True
ROLC,172.3811,-43.5928,0.415,1.425,0.3,463.977253718555,False,False,False,False,True,True,True,True,True,True
FJDS,170.1842,-43.3891,0.065,0.275,0.5,335.279503499201,False,False,True,False,True,True,False,True,False,True
FDCS,170.8287,-44.0987,0.515,0.525,0.3,246.613837142731,False,False,True,True,True,True,False,True,False,True
OXZ,172.0383,-43.3259,0.065,0.325,0.3,883.752422119444,False,False,False,False,True,True,True,True,True,True
FXBS,175.226,-40.4614,0.065,0.325,0.5,472.749388886325,True,True,True,False,False,True,True,True,True,True
PNRS,175.6337,-40.3303,0.065,0.325,0.5,500.000000001021,True,True,False,False,False,True,True,True,True,True
NPCS,174.0734,-39.0624,0.075,1.525,0.5,335.279503497185,False,True,False,False,False,False,True,True,True,True
INHS,174.1905,-39.1562,0.075,1.775,0.5,454.999999999999,True,True,False,False,False,False,True,True,True,True
WCDS,175.048,-39.9336,0.075,3.625,0.5,478.595724837252,True,True,False,False,False,True,True,True,True,True
GWTS,177.9216,-38.6257,0.195,9.175,0.3,239.902905312165,False,False,False,False,False,False,True,True,True,True
LPCC,172.7248,-43.6078,0.045,1.325,0.3,468.374832958909,False,False,False,False,True,True,True,True,True,True
HHSS,172.5928,-43.5575,0.275,1.725,0.3,167.330020183135,False,False,False,False,True,True,True,True,True,True
OHSS,172.6605,-43.4446,0.755,3.125,0.3,196.811974606689,False,False,True,False,True,True,True,True,True,True
CBGS,172.6199,-43.5293,0.545,2.375,0.3,192.139269088957,False,False,False,False,True,True,True,True,True,True
OPWS,172.6643,-43.5562,0.125,1.875,0.3,174.730311136782,False,False,False,False,True,True,True,True,True,True
WRCS,175.6478,-40.9504,0.075,0.325,0.5,500.000000011842,True,True,True,False,False,True,True,True,True,True
EKTS,175.7088,-40.6495,0.065,0.275,0.5,500.03402709358,True,True,True,False,False,True,True,True,True,True
KFHS,176.467,-39.4334,0.065,1.475,0.5,455.000000244575,False,True,False,False,False,False,True,True,True,True
PIPS,174.7861,-41.2675,0.245,0.325,0.3,247.57585178161,True,True,True,False,False,True,True,True,True,True
TPPS,176.0675,-38.6863,0.075,2.125,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
TTHS,175.815,-38.9863,0.085,1.475,0.5,500.0,False,True,False,False,False,False,True,True,True,True
WAIS,176.0937,-38.6325,0.055,2.025,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
RRKS,167.4725,-46.1474,0.065,0.525,0.5,335.279503497188,False,False,True,True,False,False,True,True,True,True
ORPS,167.7651,-46.2868,0.055,0.525,0.5,455.000000000007,False,False,True,True,False,False,True,True,True,True
MOSS,168.2378,-45.6678,0.075,0.675,0.5,335.279503506537,False,False,True,True,False,False,True,True,True,True
MLZ,168.1184,-45.3665,0.055,1.075,0.5,940.654270215723,False,False,True,True,False,False,True,True,True,True
WHZ,167.947,-45.8924,0.055,0.725,0.5,811.572147414218,False,False,True,True,False,False,True,True,True,True
SWNC,172.4954,-43.3694,0.905,3.825,0.3,510.885262317026,False,False,False,False,True,True,True,True,True,True
FGPS,170.0198,-43.4632,0.065,0.275,0.5,246.613870092485,False,False,True,False,True,True,False,True,False,True
GISS,178.0227,-38.6665,0.105,10.125,0.3,136.741662529615,False,False,False,False,False,False,True,True,True,True
WFES,174.7763,-41.2837,0.045,0.325,0.3,447.220992886185,True,True,True,False,False,True,True,True,True,True
WTES,174.7742,-41.2816,0.045,0.325,0.5,261.682869040879,True,True,True,False,False,True,True,True,True,True
MAVS,175.4615,-41.2109,0.085,1.375,0.5,499.99999999999,True,True,True,False,False,True,True,True,True,True
WCFS,174.7848,-41.2931,0.075,0.325,0.3,300.554462056282,True,True,True,False,False,True,True,True,True,True
TKHS,175.1556,-38.3328,0.055,0.925,0.3,500.0,False,True,False,False,False,False,True,True,True,True
VRZ,174.7585,-39.1243,0.065,1.225,0.5,810.845831825326,True,True,False,False,False,False,True,True,True,True
TLZ,175.538,-38.3294,0.045,0.425,0.5,455.0,False,False,False,False,False,False,True,True,True,True
THOB,175.093,-40.7894,0.055,0.275,0.5,472.749388885185,True,True,True,False,False,True,True,True,True,True
CVZ,171.0062,-44.3832,0.255,1.525,0.3,883.168302688141,False,False,True,True,True,True,False,True,False,True
MENS,172.7115,-43.5585,0.115,1.775,0.3,452.796512213483,False,False,False,False,True,True,True,True,True,True
WKHS,176.9855,-37.9615,0.075,0.375,0.5,210.275155537372,False,False,False,False,False,False,True,True,True,True
GODS,172.7693,-43.5784,0.005,1.725,0.3,603.615382149144,False,False,False,False,True,True,True,True,True,True
SHLC,172.6634,-43.5053,0.675,2.475,0.3,198.53962122956,False,False,False,False,True,True,True,True,True,True
TPLC,172.472,-43.55,0.445,1.475,0.3,390.772006724431,False,False,False,False,True,True,True,True,True,True
RHSC,172.5644,-43.5362,0.445,1.925,0.3,272.45352627833,False,False,False,False,True,True,True,True,True,True
PRPC,172.6828,-43.5258,0.485,2.075,0.3,192.557647695608,False,False,False,False,True,True,True,True,True,True
INGS,171.9525,-41.8571,0.065,0.325,0.5,499.999992660847,True,True,True,False,True,True,True,True,True,True
TAFS,167.7191,-45.4167,0.075,1.325,0.5,500.000000020446,False,False,True,True,False,False,True,True,True,True
PARS,172.7507,-43.5679,0.115,1.775,0.3,658.976394643562,False,False,False,False,True,True,True,True,True,True
CMHS,172.6242,-43.5656,0.125,1.625,0.3,207.011793478891,False,False,False,False,True,True,True,True,True,True
MTHS,171.6664,-43.5632,0.725,1.325,0.3,399.000002005482,False,False,False,False,True,True,True,True,True,True
STAS,172.6411,-43.5136,0.685,2.675,0.3,176.780326040445,False,False,False,False,True,True,True,True,True,True
SUMS,172.7568,-43.5692,0.035,1.675,0.3,653.797587906933,False,False,False,False,True,True,True,True,True,True
SACS,172.6162,-43.5067,0.645,3.125,0.3,176.214738030718,False,False,False,False,True,True,True,True,True,True
