,lon,lat,z1p0,z2p5,sigma,vs30,v22p12,v22p11,v22p4,v22p2,v21p6,v21p1,v20p9,v20p6,v20p5,v20p4
3201111,175.642709784,-37.9768669602,0.065,1.075,0.5,690.974349095286,False,False,False,False,False,False,True,True,True,True
3201112,175.631313597,-37.98585066,0.055,1.125,0.5,690.974349074751,False,False,False,False,False,False,True,True,True,True
3201113,175.61991741,-37.9768669602,0.065,1.075,0.5,690.974349125698,False,False,False,False,False,False,True,True,True,True
3201114,175.562942042,-37.9858572497,0.055,1.075,0.3,455.000000365228,False,False,False,False,False,False,True,True,True,True
3201115,175.574341021,-37.9948398496,0.055,1.175,0.3,455.00000019449,False,False,False,False,False,False,True,True,True,True
3201116,175.562942042,-38.0038235498,0.045,1.325,0.3,690.974349064519,False,False,False,False,False,False,True,True,True,True
3201117,175.551543063,-37.9948398496,0.065,1.125,0.3,455.000000215956,False,False,False,False,False,False,True,True,True,True
3201118,175.614182741,-38.1294272383,0.035,0.975,0.5,690.974348966216,False,False,False,False,False,False,True,True,True,True
3201119,175.625604112,-38.1384098354,0.055,0.825,0.5,690.974348966214,False,False,False,False,False,False,True,True,True,True
320111a,175.614182741,-38.1473935384,0.055,0.825,0.5,690.974348966214,False,False,False,False,False,False,True,True,True,True
320111b,175.602761371,-38.1384098354,0.065,0.925,0.5,690.974348966215,False,False,False,False,False,False,True,True,True,True
320111c,175.669012458,-39.4573252537,0.055,0.325,0.5,455.0,True,True,False,False,False,False,True,True,True,True
320111d,175.680648686,-39.4663078239,0.065,0.325,0.5,246.6138371423,True,True,False,False,False,False,True,True,True,True
320111e,175.669012458,-39.4752915537,0.055,0.325,0.5,455.0,True,True,False,False,False,False,True,True,True,True
320111f,175.657376231,-39.4663078239,0.065,0.325,0.5,455.0,True,True,False,False,False,False,True,True,True,True
3201120,175.651700657,-40.211077068,0.065,0.325,0.5,455.000000090272,True,True,False,False,False,True,True,True,True,True
3201121,175.663465328,-40.2200596224,0.065,0.325,0.5,335.27950363025,True,True,False,False,False,True,True,True,True,True
3201122,175.651700657,-40.229043368,0.065,0.325,0.5,455.0000000375,True,True,False,False,False,True,True,True,True,True
3201123,175.639935986,-40.2200596224,0.065,0.325,0.5,335.279503529474,True,True,False,False,False,True,True,True,True,True
3201124,175.701774316,-40.2828570619,0.055,0.275,0.5,455.000000010503,True,True,False,False,False,True,True,True,True,True
3201125,175.713551474,-40.2918396149,0.065,0.275,0.5,335.27950351041,True,True,False,False,False,True,True,True,True,True
3201126,175.701774316,-40.3008233619,0.055,0.275,0.5,335.279503506303,True,True,False,False,False,True,True,True,True,True
3201127,175.689997158,-40.2918396149,0.065,0.325,0.5,455.000000007347,True,True,False,False,False,True,True,True,True,True
3201128,175.654665684,-40.2828570619,0.065,0.325,0.5,455.000000004156,True,True,False,False,False,True,True,True,True,True
3201129,175.666442842,-40.2918396149,0.055,0.325,0.5,455.000000004246,True,True,False,False,False,True,True,True,True,True
320112a,175.654665684,-40.3008233619,0.065,0.325,0.5,455.000000001096,True,True,False,False,False,True,True,True,True,True
320112b,175.642888526,-40.2918396149,0.075,0.325,0.5,210.559092520343,True,True,False,False,False,True,True,True,True,True
320112c,175.728343632,-40.3007209851,0.055,0.275,0.5,500.000000004394,True,True,False,False,False,True,True,True,True,True
320112d,175.740123905,-40.3097035377,0.065,0.275,0.5,500.000000004185,True,True,False,False,False,True,True,True,True,True
320112e,175.728343632,-40.3186872851,0.065,0.275,0.5,500.000000002873,True,True,False,False,False,True,True,True,True,True
320112f,175.71656336,-40.3097035377,0.055,0.275,0.5,500.000000003072,True,True,False,False,False,True,True,True,True,True
3201130,175.710827129,-40.4622548331,0.055,0.275,0.5,500.000003244337,True,True,True,False,False,True,True,True,True,True
3201131,175.722635691,-40.4712373823,0.045,0.275,0.5,455.000010624779,True,True,True,False,False,True,True,True,True,True
3201132,175.710827129,-40.4802211331,0.045,0.275,0.5,455.000020888796,True,True,True,False,False,True,True,True,True,True
3201133,175.699018566,-40.4712373823,0.045,0.275,0.5,455.000017707922,True,True,True,False,False,True,True,True,True,True
3201134,175.71692054,-40.6417570314,0.065,0.275,0.5,500.019132216039,True,True,True,False,False,True,True,True,True,True
3201135,175.72876081,-40.6507395768,0.045,0.275,0.5,455.024877857472,True,True,True,False,False,True,True,True,True,True
3201136,175.71692054,-40.6597233315,0.055,0.275,0.5,455.049267406198,True,True,True,False,False,True,True,True,True,True
3201137,175.70508027,-40.6507395768,0.065,0.275,0.5,500.04346529349,True,True,True,False,False,True,True,True,True,True
3201138,175.681566831,-40.9288670068,0.055,0.325,0.5,500.00000004837,True,True,True,False,False,True,True,True,True,True
3201139,175.693458415,-40.937849546,0.065,0.325,0.5,500.000000021191,True,True,True,False,False,True,True,True,True,True
320113a,175.681566831,-40.9468333068,0.065,0.325,0.5,500.000000006492,True,True,True,False,False,True,True,True,True,True
320113b,175.669675246,-40.937849546,0.065,0.325,0.5,500.000000033088,True,True,True,False,False,True,True,True,True,True
320113c,175.69846943,-36.7993663104,0.055,0.325,0.5,693.008540285216,False,False,False,False,False,False,True,True,True,True
320113e,175.69846943,-36.8173326104,0.075,0.325,0.5,216.104009731084,False,False,False,False,False,False,True,True,True,True
320113f,175.687249526,-36.8083489334,0.045,0.325,0.5,691.768973075652,False,False,False,False,False,False,True,True,True,True
3201140,175.676029621,-36.8173347184,0.055,0.325,0.5,240.04260277373,False,False,False,False,False,False,True,True,True,True
3201141,175.68725216,-36.8263173411,0.075,0.325,0.5,203.673063069373,False,False,False,False,False,False,True,True,True,True
3201142,175.676029621,-36.8353010184,0.075,0.325,0.5,211.385460844204,False,False,False,False,False,False,True,True,True,True
3201143,175.664807082,-36.8263173411,0.035,0.325,0.5,691.09786628065,False,False,False,False,False,False,True,True,True,True
3201144,175.704226103,-36.9429262552,0.045,0.325,0.5,690.974384754398,False,False,False,False,False,False,True,True,True,True
3201145,175.715467119,-36.9519088755,0.045,0.325,0.5,690.974368333544,False,False,False,False,False,False,True,True,True,True
3201146,175.704226103,-36.9608925553,0.045,0.325,0.5,690.974361086538,False,False,False,False,False,False,True,True,True,True
3201147,175.692985086,-36.9519088755,0.035,0.325,0.5,690.974367430932,False,False,False,False,False,False,True,True,True,True
3201148,175.696097833,-37.3197945632,0.035,0.325,0.5,690.974348966212,False,False,False,False,False,False,True,True,True,True
3201149,175.707394991,-37.3287771762,0.035,0.325,0.5,690.974348966212,False,False,False,False,False,False,True,True,True,True
320114a,175.696097833,-37.3377608632,0.035,0.325,0.5,690.974348966214,False,False,False,False,False,False,True,True,True,True
320114b,175.684800675,-37.3287771762,0.065,0.325,0.5,690.974348966213,False,False,False,False,False,False,True,True,True,True
320114c,175.676370517,-37.3735860885,0.065,0.325,0.3,500.000000000023,False,False,False,False,False,False,True,True,True,True
320114d,175.687675774,-37.3825687005,0.045,0.325,0.5,690.974348966281,False,False,False,False,False,False,True,True,True,True
320114e,175.676370517,-37.3915523886,0.305,0.325,0.3,500.000000000096,False,False,False,False,False,False,True,True,True,True
320114f,175.66506526,-37.3825687005,0.615,0.825,0.3,500.000000000074,False,False,False,False,False,False,True,True,True,True
3201150,175.704777914,-37.5351144961,0.625,1.125,0.3,246.6138374495,False,False,False,False,False,False,True,True,True,True
3201151,175.716107621,-37.5440971049,0.475,0.625,0.3,246.613837478035,False,False,False,False,False,False,True,True,True,True
3201152,175.704777914,-37.5530807961,0.615,1.025,0.3,480.519270689661,False,False,False,False,False,False,True,True,True,True
3201153,175.693448207,-37.5440971049,0.615,1.075,0.3,500.000000888024,False,False,False,False,False,False,True,True,True,True
3201154,175.690799699,-37.7324759481,0.145,0.375,0.3,335.282023491552,False,False,False,False,False,False,True,True,True,True
3201155,175.702159547,-37.741458553,0.115,0.375,0.3,335.280707030105,False,False,False,False,False,False,True,True,True,True
3201156,175.690799699,-37.7504422482,0.055,0.375,0.3,690.97546669368,False,False,False,False,False,False,True,True,True,True
3201157,175.679439851,-37.741458553,0.055,0.375,0.3,690.976915735355,False,False,False,False,False,False,True,True,True,True
3201158,175.716443537,-37.7862918058,0.075,0.525,0.3,335.279744991109,False,False,False,False,False,False,True,True,True,True
3201159,175.727811655,-37.7952744097,0.075,0.575,0.3,335.279634269632,False,False,False,False,False,False,True,True,True,True
320115a,175.716443537,-37.8042581059,0.065,0.625,0.3,690.974441888579,False,False,False,False,False,False,True,True,True,True
320115b,175.705075419,-37.7952744097,0.055,0.525,0.3,690.974538753502,False,False,False,False,False,False,True,True,True,True
320115c,175.69370177,-37.8042559199,0.055,0.575,0.3,690.974679604477,False,False,False,False,False,False,True,True,True,True
320115d,175.705072653,-37.8132385234,0.055,0.625,0.3,690.974463668996,False,False,False,False,False,False,True,True,True,True
320115e,175.69370177,-37.8222222199,0.055,0.625,0.3,335.279760474205,False,False,False,False,False,False,True,True,True,True
320115f,175.682330887,-37.8132385234,0.055,0.525,0.3,335.280368196291,False,False,False,False,False,False,True,True,True,True
3201160,175.719367837,-37.8940043833,0.075,0.925,0.3,500.000001035088,False,False,False,False,False,False,True,True,True,True
3201161,175.730752574,-37.9029869851,0.045,0.975,0.3,500.000000527194,False,False,False,False,False,False,True,True,True,True
3201162,175.719367837,-37.9119706834,0.075,1.025,0.3,690.974349792549,False,False,False,False,False,False,True,True,True,True
3201163,175.7079831,-37.9029869851,0.065,0.975,0.3,690.974350584971,False,False,False,False,False,False,True,True,True,True
3201164,175.69660392,-37.8760358916,0.045,0.875,0.3,500.000008127424,False,False,False,False,False,False,True,True,True,True
3201165,175.707985878,-37.8850184937,0.065,0.925,0.3,690.974353471326,False,False,False,False,False,False,True,True,True,True
3201166,175.69660392,-37.8940021916,0.055,0.925,0.3,690.974353509365,False,False,False,False,False,False,True,True,True,True
3201167,175.685221961,-37.8850184937,0.055,0.875,0.3,690.974361684577,False,False,False,False,False,False,True,True,True,True
3201168,175.74508843,-37.9478058632,0.045,1.175,0.3,690.974349007223,False,False,False,False,False,False,True,True,True,True
3201169,175.756481502,-37.9567884639,0.075,1.175,0.3,500.000000005207,False,False,False,False,False,False,True,True,True,True
320116a,175.74508843,-37.9657721633,0.055,1.175,0.3,335.279503512564,False,False,False,False,False,False,True,True,True,True
320116b,175.733695359,-37.9567884639,0.065,1.175,0.3,690.974349002957,False,False,False,False,False,False,True,True,True,True
320116c,175.699516145,-37.9478058632,0.045,1.075,0.3,690.974349106232,False,False,False,False,False,False,True,True,True,True
320116d,175.710909216,-37.9567884639,0.065,1.125,0.3,690.974349051282,False,False,False,False,False,False,True,True,True,True
320116e,175.699516145,-37.9657721633,0.035,1.125,0.3,335.279503643852,False,False,False,False,False,False,True,True,True,True
320116f,175.688123074,-37.9567884639,0.065,1.075,0.3,690.974349096294,False,False,False,False,False,False,True,True,True,True
3201170,175.699527303,-37.9837472499,0.065,1.125,0.3,500.00000000612,False,False,False,False,False,False,True,True,True,True
3201171,175.710925954,-37.9927298499,0.055,1.225,0.5,690.974348972869,False,False,False,False,False,False,True,True,True,True
3201172,175.699527303,-38.0017135499,0.045,1.225,0.5,690.974348972233,False,False,False,False,False,False,True,True,True,True
3201173,175.688128651,-37.9927298499,0.055,1.175,0.5,690.974348974842,False,False,False,False,False,False,True,True,True,True
3201174,175.67963,-38.03756315,0.075,1.175,0.3,500.00000000051,False,False,False,False,False,False,True,True,True,True
3201175,175.691037025,-38.0465457489,0.075,1.225,0.3,690.974348966479,False,False,False,False,False,False,True,True,True,True
3201176,175.67963,-38.0555294501,0.085,1.225,0.3,500.000000000152,False,False,False,False,False,False,True,True,True,True
3201177,175.668222975,-38.0465457489,0.065,1.175,0.3,500.000000000204,False,False,False,False,False,False,True,True,True,True
3201178,175.65681035,-38.0555272442,0.075,1.175,0.3,500.000000000182,False,False,False,False,False,False,True,True,True,True
3201179,175.668220175,-38.0645098427,0.065,1.225,0.3,500.000000000131,False,False,False,False,False,False,True,True,True,True
320117a,175.65681035,-38.0734935442,0.065,1.175,0.3,500.000000000109,False,False,False,False,False,False,True,True,True,True
320117b,175.645400525,-38.0645098427,0.075,1.125,0.3,500.000000000158,False,False,False,False,False,False,True,True,True,True
320117c,175.728191679,-38.073401715,0.065,1.025,0.5,500.00000000001,False,False,False,False,False,False,True,True,True,True
320117d,175.739604293,-38.0823843132,0.045,0.975,0.5,690.974348966217,False,False,False,False,False,False,True,True,True,True
320117e,175.728191679,-38.0913680151,0.055,1.025,0.5,690.974348966217,False,False,False,False,False,False,True,True,True,True
320117f,175.716779065,-38.0823843132,0.055,1.075,0.5,690.974348966219,False,False,False,False,False,False,True,True,True,True
3201180,175.68253,-38.10934315,0.055,0.925,0.5,690.974348966217,False,False,False,False,False,False,True,True,True,True
3201181,175.693948229,-38.1183257475,0.055,0.875,0.5,690.974348966215,False,False,False,False,False,False,True,True,True,True
3201182,175.68253,-38.1273094501,0.055,0.825,0.5,690.974348966214,False,False,False,False,False,False,True,True,True,True
3201183,175.671111771,-38.1183257475,0.045,0.875,0.5,690.974348966216,False,False,False,False,False,False,True,True,True,True
3201184,175.748786482,-40.2805670621,0.055,0.275,0.5,500.000000053779,True,True,False,False,False,True,True,True,True,True
3201185,175.760563241,-40.2895496151,0.065,0.275,0.5,500.00000004892,True,True,False,False,False,True,True,True,True,True
3201186,175.748786482,-40.2985333621,0.065,0.275,0.5,500.000000021081,True,True,False,False,False,True,True,True,True,True
3201187,175.737009723,-40.2895496151,0.065,0.275,0.5,335.279503575024,True,True,False,False,False,True,True,True,True,True
3201188,175.828852622,-40.4419709372,0.065,0.325,0.5,500.00000002242,True,True,False,False,False,True,True,True,True,True
3201189,175.84065762,-40.4509534868,0.075,0.325,0.5,500.000000023818,True,True,False,False,False,True,True,True,True,True
320118a,175.828852622,-40.4599372372,0.075,0.325,0.5,500.000000054631,True,True,False,False,False,True,True,True,True,True
320118b,175.817047625,-40.4509534868,0.065,0.325,0.5,500.000000053175,True,True,False,False,False,True,True,True,True,True
320118c,175.71776,-36.74349315,0.045,0.325,0.5,718.113413144037,False,False,False,False,False,False,True,True,True,True
320118d,175.728971728,-36.7524757741,0.045,0.325,0.5,777.288567621388,False,False,False,False,False,False,True,True,True,True
320118e,175.71776,-36.7614594501,0.045,0.325,0.5,533.448461489502,False,False,False,False,False,False,True,True,True,True
320118f,175.706548272,-36.7524757741,0.035,0.325,0.5,753.673132462445,False,False,False,False,False,False,True,True,True,True
3201190,175.71776,-36.7794257501,0.035,0.325,0.5,702.966639456374,False,False,False,False,False,False,True,True,True,True
3201191,175.728976984,-36.7884083735,0.055,0.325,0.5,696.7358490509,False,False,False,False,False,False,True,True,True,True
3201192,175.71776,-36.7973920502,0.045,0.325,0.5,240.394649731049,False,False,False,False,False,False,True,True,True,True
3201193,175.706543016,-36.7884083735,0.035,0.325,0.5,696.279585066436,False,False,False,False,False,False,True,True,True,True
3201195,175.754314617,-36.842219962,0.065,0.325,0.5,691.043070121444,False,False,False,False,False,False,True,True,True,True
3201196,175.743089744,-36.8512036396,0.035,0.325,0.5,691.01517517895,False,False,False,False,False,False,True,True,True,True
3201197,175.731864872,-36.842219962,0.035,0.325,0.5,691.065761449238,False,False,False,False,False,False,True,True,True,True
3201198,175.698190256,-36.8332373396,0.075,0.325,0.5,203.337158000015,False,False,False,False,False,False,True,True,True,True
3201199,175.709415128,-36.842219962,0.075,0.325,0.5,691.065523697827,False,False,False,False,False,False,True,True,True,True
320119c,175.777327871,-37.1023546306,0.045,0.325,0.5,690.974348966447,False,False,False,False,False,False,True,True,True,True
320119d,175.78859251,-37.1113372478,0.035,0.325,0.5,690.974348966365,False,False,False,False,False,False,True,True,True,True
320119e,175.777327871,-37.1203209306,0.035,0.325,0.5,690.974348966301,False,False,False,False,False,False,True,True,True,True
320119f,175.766063232,-37.1113372478,0.045,0.325,0.5,690.974348966383,False,False,False,False,False,False,True,True,True,True
32011a0,175.766620721,-37.4074072951,0.045,0.375,0.5,690.974348966229,False,False,False,False,False,False,True,True,True,True
32011a1,175.777931081,-37.4163899064,0.055,0.375,0.5,690.974348966246,False,False,False,False,False,False,True,True,True,True
32011a2,175.766620721,-37.4253735952,0.035,0.375,0.5,690.974348966331,False,False,False,False,False,False,True,True,True,True
32011a3,175.755310361,-37.4163899064,0.045,0.325,0.5,690.974348966314,False,False,False,False,False,False,True,True,True,True
32011a4,175.721379279,-37.4074072951,0.045,0.325,0.5,690.974348966355,False,False,False,False,False,False,True,True,True,True
32011a5,175.732689639,-37.4163899064,0.035,0.325,0.5,690.974348966378,False,False,False,False,False,False,True,True,True,True
32011a6,175.721379279,-37.4253735952,0.045,0.325,0.5,690.974348966462,False,False,False,False,False,False,True,True,True,True
32011a7,175.710068919,-37.4163899064,0.045,0.325,0.5,690.974348966438,False,False,False,False,False,False,True,True,True,True
32011a8,175.798200283,-37.6047544743,0.655,0.775,0.3,335.279503771684,False,False,False,False,False,False,True,True,True,True
32011a9,175.809540592,-37.6137370817,0.235,0.775,0.3,455.00000018692,False,False,False,False,False,False,True,True,True,True
32011aa,175.798200283,-37.6227207743,0.625,0.675,0.3,325.417620438867,False,False,False,False,False,False,True,True,True,True
32011ab,175.786859974,-37.6137370817,0.615,0.725,0.3,339.104932594185,False,False,False,False,False,False,True,True,True,True
32011ac,175.801204095,-37.6405818517,0.525,0.625,0.3,335.279504567513,False,False,False,False,False,False,True,True,True,True
32011ad,175.812549872,-37.6495644584,0.355,0.725,0.3,335.279503904911,False,False,False,False,False,False,True,True,True,True
32011ae,175.801204095,-37.6585481517,0.355,0.625,0.3,363.393161072594,False,False,False,False,False,False,True,True,True,True
32011af,175.789858318,-37.6495644584,0.375,0.625,0.3,368.894816044572,False,False,False,False,False,False,True,True,True,True
32011b0,175.829973318,-37.8021059207,0.075,0.925,0.3,500.000000082884,False,False,False,False,False,False,True,True,True,True
32011b1,175.84134387,-37.8110885243,0.075,0.975,0.3,500.000000051712,False,False,False,False,False,False,True,True,True,True
32011b2,175.829973318,-37.8200722208,0.115,0.975,0.3,500.000000068179,False,False,False,False,False,False,True,True,True,True
32011b3,175.818602766,-37.8110885243,0.215,0.925,0.3,500.000000100038,False,False,False,False,False,False,True,True,True,True
32011b4,175.76175,-37.82008315,0.265,0.775,0.3,500.000002869967,False,False,False,False,False,False,True,True,True,True
32011b5,175.773123322,-37.8290657532,0.285,0.825,0.3,500.000001067038,False,False,False,False,False,False,True,True,True,True
32011b6,175.76175,-37.8380494501,0.225,0.825,0.3,500.000001234458,False,False,False,False,False,False,True,True,True,True
32011b7,175.750376678,-37.8290657532,0.215,0.775,0.3,500.000004689194,False,False,False,False,False,False,True,True,True,True
32011b8,175.76772,-37.96362315,0.125,1.275,0.3,335.279503508398,False,False,False,False,False,False,True,True,True,True
32011b9,175.779115526,-37.9726057504,0.175,1.225,0.3,335.279503503155,False,False,False,False,False,False,True,True,True,True
32011ba,175.76772,-37.9815894501,0.075,1.225,0.3,335.279503502824,False,False,False,False,False,False,True,True,True,True
32011bb,175.756324474,-37.9726057504,0.075,1.225,0.3,500.000000003589,False,False,False,False,False,False,True,True,True,True
32011bc,175.744923369,-37.9815872501,0.065,1.275,0.3,335.279503507497,False,False,False,False,False,False,True,True,True,True
32011bd,175.756321684,-37.9905698501,0.075,1.225,0.3,335.279503502291,False,False,False,False,False,False,True,True,True,True
32011be,175.744923369,-37.9995535501,0.065,1.275,0.5,690.974348968464,False,False,False,False,False,False,True,True,True,True
32011bf,175.733525053,-37.9905698501,0.075,1.275,0.3,690.974348971131,False,False,False,False,False,False,True,True,True,True
32011c0,175.77071,-38.03538315,0.055,1.025,0.5,690.974348966328,False,False,False,False,False,False,True,True,True,True
32011c1,175.782116685,-38.044365749,0.065,0.975,0.5,690.974348966242,False,False,False,False,False,False,True,True,True,True
32011c2,175.77071,-38.0533494501,0.045,0.975,0.5,690.974348966227,False,False,False,False,False,False,True,True,True,True
32011c3,175.759303315,-38.044365749,0.055,1.075,0.5,690.974348966312,False,False,False,False,False,False,True,True,True,True
32011c4,175.77071,-38.0713157501,0.055,0.975,0.5,690.974348966217,False,False,False,False,False,False,True,True,True,True
32011c5,175.782122288,-38.0802983484,0.065,0.975,0.5,690.974348966215,False,False,False,False,False,False,True,True,True,True
32011c6,175.77071,-38.0892820502,0.055,0.975,0.5,690.974348966215,False,False,False,False,False,False,True,True,True,True
32011c7,175.759297712,-38.0802983484,0.065,0.925,0.5,690.974348966217,False,False,False,False,False,False,True,True,True,True
32011c8,175.819360317,-38.0712217157,0.055,1.175,0.5,690.974348966214,False,False,False,False,False,False,True,True,True,True
32011c9,175.83077259,-38.080204314,0.035,1.275,0.5,690.974348966212,False,False,False,False,False,False,True,True,True,True
32011ca,175.819360317,-38.0891880158,0.065,1.225,0.5,690.974348966212,False,False,False,False,False,False,True,True,True,True
32011cb,175.807948043,-38.080204314,0.045,1.125,0.5,690.974348966214,False,False,False,False,False,False,True,True,True,True
32011cc,175.75683484,-38.2327157501,0.065,1.725,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011cd,175.768272418,-38.2416983452,0.065,1.875,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011ce,175.75683484,-38.2506820502,0.045,1.875,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011cf,175.745397261,-38.2416983452,0.045,1.625,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011d0,175.808671883,-38.4121972158,0.075,1.575,0.5,500.0,False,False,False,False,False,False,True,True,True,True
32011d1,175.820137825,-38.4211798072,0.075,1.575,0.5,500.0,False,False,False,False,False,False,True,True,True,True
32011d2,175.808671883,-38.4301635158,0.055,1.575,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011d3,175.797205942,-38.4211798072,0.085,1.525,0.5,500.0,False,False,False,False,False,False,True,True,True,True
32011d4,175.78877,-38.46601315,0.055,1.625,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011d5,175.800244495,-38.4749957404,0.055,1.625,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011d6,175.78877,-38.4839794501,0.065,1.625,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011d7,175.777295505,-38.4749957404,0.055,1.625,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011d8,175.787003214,-38.9863571694,0.085,1.125,0.5,500.0,False,True,False,False,False,False,True,True,True,True
32011d9,175.798561607,-38.9953397493,0.065,1.275,0.5,500.0,False,True,False,False,False,False,True,True,True,True
32011da,175.787003214,-39.0043234695,0.055,1.175,0.5,690.974348966211,False,True,False,False,False,False,True,True,True,True
32011db,175.775444821,-38.9953397493,0.035,1.075,0.5,690.974348966211,False,True,False,False,False,False,True,True,True,True
32011dc,175.841641999,-37.0104462292,0.035,0.325,0.5,690.974349057041,False,False,False,False,False,False,True,True,True,True
32011df,175.830391001,-37.0194288482,0.045,0.325,0.5,690.974349027728,False,False,False,False,False,False,True,True,True,True
32011e0,175.873302202,-37.2077819867,0.065,0.325,0.5,208.242165070878,False,False,False,False,False,False,True,True,True,True
32011e1,175.884582564,-37.2167646019,0.045,0.075,0.5,500.0,False,False,False,False,False,False,True,True,True,True
32011e2,175.873302202,-37.2257482868,0.045,0.325,0.5,219.21072526379,False,False,False,False,False,False,True,True,True,True
32011e3,175.862021839,-37.2167646019,0.065,0.325,0.5,240.0,False,False,False,False,False,False,True,True,True,True
32011e4,175.902057647,-37.3692760902,0.045,0.675,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011e5,175.913362254,-37.3782587022,0.055,0.875,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011e6,175.902057647,-37.3872423902,0.055,0.825,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011e7,175.89075304,-37.3782587022,0.065,0.625,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011e8,175.856839217,-37.3692760902,0.035,0.375,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011e9,175.868143825,-37.3782587022,0.075,0.475,0.5,240.0,False,False,False,False,False,False,True,True,True,True
32011ea,175.856839217,-37.3872423902,0.055,0.475,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
32011eb,175.84553461,-37.3782587022,0.045,0.375,0.5,243.864811020587,False,False,False,False,False,False,True,True,True,True
32011ec,175.83423,-37.38725315,0.055,0.375,0.5,690.974348966212,False,False,False,False,False,False,True,True,True,True
32011ed,175.845537318,-37.3962357617,0.055,0.375,0.5,690.974348966212,False,False,False,False,False,False,True,True,True,True
32011ee,175.83423,-37.4052194501,0.055,0.375,0.5,268.035290245406,False,False,False,False,False,False,True,True,True,True
32011ef,175.822922682,-37.3962357617,0.045,0.375,0.5,690.974348966214,False,False,False,False,False,False,True,True,True,True
32011f0,175.856850059,-37.4052172953,0.055,0.575,0.5,690.974348966213,False,False,False,False,False,False,True,True,True,True
32011f1,175.868160089,-37.4141999067,0.075,0.725,0.5,240.000000000001,False,False,False,False,False,False,True,True,True,True
32011f2,175.856850059,-37.4231835954,0.055,0.675,0.5,690.974348966215,False,False,False,False,False,False,True,True,True,True
32011f3,175.84554003,-37.4141999067,0.065,0.525,0.5,690.974348966214,False,False,False,False,False,False,True,True,True,True
32011f4,175.882531775,-37.4230719197,0.075,0.825,0.5,240.0,False,False,False,False,False,False,True,True,True,True
32011f5,175.893844502,-37.4320545307,0.075,0.825,0.5,240.0,False,False,False,False,False,False,True,True,True,True
32011f6,175.882531775,-37.4410382198,0.045,0.875,0.5,690.974348966214,False,False,False,False,False,False,True,True,True,True
32011f7,175.871219048,-37.4320545307,0.065,0.825,0.5,240.000000000001,False,False,False,False,False,False,True,True,True,True
32011f8,175.885605272,-37.4948318973,0.035,0.825,0.5,690.97434896623,False,False,False,False,False,False,True,True,True,True
32011f9,175.896928863,-37.5038145069,0.045,0.875,0.5,690.974348966219,False,False,False,False,False,False,True,True,True,True
32011fa,175.885605272,-37.5127981974,0.045,0.825,0.5,690.974348966304,False,False,False,False,False,False,True,True,True,True
32011fb,175.874281681,-37.5038145069,0.035,0.825,0.5,690.974348966317,False,False,False,False,False,False,True,True,True,True
32011fc,175.862963557,-37.5487372841,0.035,1.025,0.5,690.974348966543,False,False,False,False,False,False,True,True,True,True
32011fd,175.874295335,-37.5577198926,0.055,0.775,0.5,690.974348966522,False,False,False,False,False,False,True,True,True,True
32011fe,175.862963557,-37.5667035842,0.045,0.825,0.5,690.974348968418,False,False,False,False,False,False,True,True,True,True
32011ff,175.851631778,-37.5577198926,0.045,1.025,0.5,690.97434896908,False,False,False,False,False,False,True,True,True,True
3201200,175.866024469,-37.5845760061,0.045,0.825,0.5,690.974348969769,False,False,False,False,False,False,True,True,True,True
3201201,175.877361703,-37.593558614,0.055,0.775,0.5,690.974348968878,False,False,False,False,False,False,True,True,True,True
3201202,175.866024469,-37.6025423062,0.035,0.975,0.5,690.974348971412,False,False,False,False,False,False,True,True,True,True
3201203,175.854687236,-37.593558614,0.045,0.925,0.5,690.974348972338,False,False,False,False,False,False,True,True,True,True
3201204,175.891802743,-37.6383718524,0.045,0.875,0.5,690.974348969978,False,False,False,False,False,False,True,True,True,True
3201205,175.903148183,-37.6473544591,0.045,0.875,0.5,690.974348968653,False,False,False,False,False,False,True,True,True,True
3201206,175.891802743,-37.6563381524,0.045,0.975,0.5,690.97434897098,False,False,False,False,False,False,True,True,True,True
3201207,175.880457304,-37.6473544591,0.035,0.975,0.5,690.974348972352,False,False,False,False,False,False,True,True,True,True
3201208,175.914499114,-37.656335978,0.045,0.825,0.5,690.974348967248,False,False,False,False,False,False,True,True,True,True
3201209,175.925847299,-37.6653185844,0.045,0.875,0.5,690.974348966521,False,False,False,False,False,False,True,True,True,True
320120a,175.914499114,-37.6743022781,0.045,0.975,0.5,690.974348968005,False,False,False,False,False,False,True,True,True,True
